permalink,woorden_oud,woorden_nieuw,verlies_pct,afb_oud,afb_nieuw,links_oud,links_nieuw,tabellen_oud,tabellen_nieuw
/2009/06/60-paces/,541,556,-2.8,0,0,0,0,0,0
/2009/06/99-test-balloons/,326,343,-5.2,1,1,0,0,0,0
/2009/06/alaskan-road-trip/,1610,1620,-0.6,0,0,0,0,0,0
/2009/06/alphabet-game/,361,370,-2.5,0,0,0,0,0,0
/2009/06/coin-sorting/,538,545,-1.3,0,0,0,0,0,0
/2009/06/collaborative-origami/,972,990,-1.9,0,0,0,0,0,0
/2009/06/doggy-planning/,762,783,-2.8,0,0,0,4,0,0
/2009/06/football-scrum/,559,566,-1.3,0,0,0,0,0,0
/2009/06/location-location-location/,188,193,-2.7,0,0,3,2,0,0
/2009/06/mr-happy-face/,2547,2659,-4.4,4,4,0,4,0,0
/2009/06/no-one-listens-to-me/,170,175,-2.9,0,0,3,2,0,0
/2009/06/pair-programming-game/,625,634,-1.4,0,0,0,0,0,0
/2009/06/picture-me/,550,569,-3.5,0,0,4,4,0,0
/2009/06/planning-poker/,264,269,-1.9,0,0,3,3,0,0
/2009/06/presto-manifesto/,818,830,-1.5,0,0,0,0,0,0
/2009/06/process-doodle/,504,516,-2.4,0,0,0,0,0,0
/2009/06/question-game/,536,541,-0.9,0,0,0,0,0,0
/2009/06/rate-games-at-blog-tastycupcakes-com/,28,28,0,0,0,0,0,0,0
/2009/06/resort-brochure/,1348,1363,-1.1,0,0,0,0,0,0
/2009/06/submit-your-game/,23,23,0,0,0,0,0,0,0
/2009/06/tangled-mess/,748,769,-2.8,0,0,0,0,0,0
/2009/06/telephone-game/,466,494,-6,0,0,0,0,0,0
/2009/06/the-story-of-our-sprints/,1180,1200,-1.7,0,0,0,0,0,0
/2009/06/the-train-game/,1555,1593,-2.4,0,0,0,0,0,0
/2009/06/theory-of-constraints-dice-game/,594,608,-2.4,0,0,0,0,0,0
/2009/06/were-having-a-party/,1471,1496,-1.7,0,0,0,0,0,0
/2009/06/what-were-they-thinking/,933,953,-2.1,0,0,8,8,0,0
/2009/06/why-agile-games/,430,431,-0.2,1,1,0,0,0,0
/2009/06/word-at-a-time-letter/,188,193,-2.7,0,0,3,2,0,0
/2009/06/you-are-not-in-control/,1491,1496,-0.3,0,0,0,0,0,0
/2009/07/people-polling/,1584,1597,-0.8,2,2,0,0,0,0
/2009/07/the-problem-with-principles/,572,589,-3,0,0,0,0,0,0
/2009/08/example-please/,723,731,-1.1,0,0,0,0,0,0
/2009/09/sizing-game/,2575,2642,-2.6,0,0,4,4,0,0
/2009/10/map-flap/,800,808,-1,0,0,2,2,0,0
/2009/11/tastycupcakes-published-in-agile-journal/,16,16,0,0,0,0,0,0,0
/2009/12/tastycupcakes-agile-games-podcast-with-improving-enterprises/,55,55,0,0,0,0,0,0,0
/2010/01/pocket-sized-principles/,946,975,-3.1,0,0,0,3,0,0
/2010/03/deep-agile-2010-empowering-teams-with-agile-games/,69,69,0,0,0,0,0,0,0
/2010/05/first-agile-games-conference-at-deepagile/,816,827,-1.3,0,0,1,1,0,0
/2010/07/the-backlog-is-in-the-eye-of-the-beholder/,3436,3666,-6.7,0,0,0,1,0,0
/2010/10/agile-games-conference-2011/,53,54,-1.9,0,0,0,1,0,0
/2010/11/marshmallow-challenge/,240,242,-0.8,0,0,0,0,0,0
/2011/01/agile-games-2011-conference-super-early-bird-pricing-until-january-24-2011/,73,73,0,0,0,0,1,0,0
/2011/01/new-for-2011-tastycupcakes-updated-and-expanded-vision/,106,121,-14.2,0,0,0,0,0,0
/2011/01/your-turn-to-play-get-involved-with-tasty-cupcakes/,175,175,0,0,0,1,4,0,0
/2011/02/agile-games-2011-early-bird-prices-end-feb-28th/,169,169,0,0,0,0,1,0,0
/2011/02/tasty-cupcakes-now-in-three-languages/,39,39,0,0,0,0,0,0,0
/2011/03/bang-for-the-buck-prioritization/,1709,1729,-1.2,0,0,0,5,0,0
/2011/04/coaching-skills-dojo/,121,123,-1.7,0,0,0,0,0,0
/2011/04/dont-blow-it/,657,702,-6.8,0,0,0,0,0,0
/2011/04/non-musical-chairs/,1623,1638,-0.9,0,0,0,0,0,0
/2011/04/pair-chess-exercise/,519,523,-0.8,0,0,0,4,0,0
/2011/04/redesign-the-gift-giving-experience/,430,452,-5.1,0,0,0,0,0,0
/2011/04/sustaining-agility/,143,146,-2.1,0,0,0,0,0,0
/2011/04/tastycupcakes-community-update/,247,247,0,0,0,0,0,0,0
/2011/05/screencast-four-ways-to-search-for-games-on-tastycupcakes/,249,249,0,0,0,0,0,0,0
/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/,511,514,-0.6,5,5,5,5,0,0
/2011/06/cover-story-2/,507,517,-2,0,0,0,0,0,0
/2011/06/empathy-map/,275,282,-2.5,0,0,0,0,0,0
/2011/06/online-plusdelta-game/,271,276,-1.8,0,0,0,0,0,0
/2011/06/prune-the-product-tree/,629,637,-1.3,0,0,0,0,0,0
/2011/06/rock-paper-scissors-happiness/,345,346,-0.3,0,0,0,1,0,0
/2011/06/speed-boat/,318,322,-1.3,0,0,0,0,0,0
/2011/06/the-whole-product-game/,308,317,-2.9,0,0,10,10,0,0
/2011/07/actions-for-retrospectives-2/,270,273,-1.1,0,0,0,0,0,0
/2011/07/agile-airplanes/,83,83,0,0,0,0,1,0,0
/2011/07/agile-game-incubator-agile-games-2011/,275,275,0,0,0,0,0,0,0
/2011/07/agile-game-incubator-online/,415,423,-1.9,0,0,0,0,0,0
/2011/07/dodontisisnt/,795,789,0.8,0,0,0,0,0,0
/2011/07/how-now-wow-matrix/,363,367,-1.1,0,0,0,0,0,0
/2011/07/impact-effort-matrix/,312,315,-1,0,0,0,0,0,0
/2011/07/proscons-game/,309,313,-1.3,0,0,0,0,0,0
/2011/07/swot-analysis-game/,311,318,-2.3,0,0,0,0,0,0
/2011/07/the-big-payoff/,1720,1740,-1.2,0,0,0,0,0,0
/2011/08/circles-and-soup/,334,342,-2.4,0,0,0,0,0,0
/2011/08/learning-matrix/,253,262,-3.6,0,0,0,0,0,0
/2011/08/merrill-covey-matrix/,1835,1875,-2.2,0,0,0,0,0,0
/2011/08/zhong-zhi-a-one-handed-agile-game-for-illustrating-problems-and-finding-solutions/,367,370,-0.8,0,0,0,0,0,0
/2011/10/continuous-integration-with-lego/,1121,1143,-2,4,4,4,5,0,0
/2011/10/mitch-lacey-team-prioritization/,2049,2069,-1,0,0,0,0,0,0
/2011/10/pairing-for-non-programmers/,2805,2872,-2.4,0,0,0,4,0,0
/2011/11/human-knot/,484,489,-1,0,0,0,2,0,0
/2011/12/circles-of-influence/,307,312,-1.6,0,0,0,0,0,0
/2011/12/values-driven-retrospective-game/,783,788,-0.6,0,0,0,0,1,1
/2012/01/agile-games-2012-call-for-games/,45,45,0,0,0,0,1,0,0
/2012/02/is-it-ragu-or-bolognese/,303,304,-0.3,0,0,0,0,0,0
/2012/02/multitasking-game-handsnumberssong/,156,157,-0.6,0,0,0,1,0,0
/2012/02/nobodys-perfct/,527,534,-1.3,0,0,0,0,0,0
/2012/02/you-sunk-my-methodology/,452,453,-0.2,0,0,0,0,0,0
/2012/03/fearless-journey-the-game-that-gets-your-team-unstuck/,1170,1182,-1,0,0,0,3,0,0
/2012/03/job-or-joy/,298,303,-1.7,0,0,0,0,0,0
/2012/03/one-word-storytelling/,203,206,-1.5,0,0,0,0,0,0
/2012/03/ouija-board-estimation/,160,160,0,7,7,7,7,0,0
/2012/04/scrum-simulation-with-lego-bricks/,312,327,-4.8,0,0,0,0,0,0
/2012/04/tasty-estimation/,1283,1315,-2.5,0,0,0,0,0,0
/2012/05/lean-startup-snowflakes/,2328,2337,-0.4,0,0,0,0,0,0
/2012/06/2-brains-tell-it-sell-it/,238,242,-1.7,0,0,0,0,0,0
/2012/07/challenger-selling-model/,370,375,-1.4,0,0,0,0,0,0
/2012/07/gone-fishing-game/,648,672,-3.7,0,0,0,0,1,1
/2012/07/innovation-ambition-matrix/,1268,1282,-1.1,0,0,0,0,0,0
/2012/08/customer-centric/,358,363,-1.4,0,0,0,0,0,0
/2012/08/die-card-die-the-interruption-game/,497,499,-0.4,0,0,0,0,0,0
/2012/08/innovation-generator/,406,410,-1,0,0,0,0,0,0
/2012/08/kanban-tetris/,231,248,-7.4,0,0,0,0,0,0
/2012/08/safe-bold-framework/,406,424,-4.4,0,0,0,0,0,0
/2012/08/wellbeing-north-star/,311,315,-1.3,0,0,0,0,0,0
/2012/09/the-domino-effect/,330,334,-1.2,0,0,0,0,0,0
/2012/09/the-project-managers-nightmare/,434,436,-0.5,0,0,0,1,0,0
/2012/09/we-want-a-city-scrum-simulation-with-lego-extension/,568,568,0,0,0,0,0,0,0
/2012/10/balloon-animals/,205,211,-2.9,0,0,0,0,0,0
/2012/10/celebrity-prioritisation/,370,379,-2.4,1,1,0,0,0,0
/2012/10/destroy/,139,151,-8.6,1,1,0,0,0,0
/2012/10/first-letter-last-letter/,143,155,-8.4,0,0,0,0,0,0
/2012/10/free-market-prioritisation/,337,348,-3.3,0,0,0,0,0,0
/2012/10/intuitions/,167,169,-1.2,0,0,0,0,0,0
/2012/10/movements-of-a-hypnotic-nature/,359,379,-5.6,0,0,0,0,0,0
/2012/10/musical-bells/,405,414,-2.2,0,0,0,0,0,0
/2012/10/once-upon-a-time-in-legoland/,291,307,-5.5,0,0,0,0,0,0
/2012/10/story-spines/,451,465,-3.1,0,0,0,0,0,0
/2012/10/swedish-stories/,169,176,-4.1,0,0,0,0,0,0
/2012/10/the-blame-game/,1190,1190,0,0,0,0,0,0,0
/2012/10/the-sprint-limerick/,317,334,-5.4,0,0,0,0,0,0
/2012/10/the-sprint-mural/,224,231,-3.1,0,0,0,0,0,0
/2012/10/thirty-five/,389,407,-4.6,0,0,0,0,0,0
/2012/10/top-traits/,200,214,-7,0,0,0,0,0,0
/2012/10/upside-downside/,269,278,-3.3,0,0,0,0,0,0
/2012/10/video-reframing/,262,267,-1.9,0,0,0,0,0,0
/2012/11/delight/,199,200,-0.5,0,0,0,0,0,0
/2012/11/gift-box/,232,233,-0.4,0,0,0,0,0,0
/2012/11/questions-only/,168,171,-1.8,0,0,0,0,0,0
/2012/11/tdd-test-driven-drawing/,538,545,-1.3,0,0,0,0,0,0
/2012/11/three-headed-expert/,276,279,-1.1,0,0,3,2,0,0
/2012/11/werewolf-facilitation/,383,392,-2.3,0,0,0,0,0,0
/2012/12/take-the-win-win-wave/,445,451,-1.3,0,0,0,0,0,0
/2013/02/52-card-pickup/,778,780,-0.3,0,0,0,3,0,0
/2013/02/copycats-2/,615,616,-0.2,1,1,0,0,0,0
/2013/02/the-herculean-doughnut/,597,623,-4.4,0,0,0,0,0,0
/2013/03/8-monkeys-in-a-cage-–-a-mura-learning-game/,282,287,-1.8,0,0,3,3,0,0
/2013/03/play-doh-zoo-agile-ux-unleashed/,1348,1412,-4.7,0,0,0,0,1,1
/2013/03/the-high-risk-airplane-factory/,717,715,0.3,0,0,0,0,0,0
/2013/04/communication-race/,401,405,-1,0,0,0,1,0,0
/2013/04/e-w-a-n-mcgregor/,1070,1070,0,1,1,0,1,1,1
/2013/04/the-risk-is-in-the-blocks/,731,734,-0.4,0,0,0,0,0,0
/2013/05/the-penny-game/,463,477,-3,0,0,0,0,0,0
/2013/07/francais-99-ballons-de-test/,1600,1620,-1.2,4,4,0,1,0,0
/2013/07/moodgraph/,188,195,-3.7,0,0,0,0,0,0
/2013/08/software-kanban-games/,150,158,-5.3,0,0,0,1,0,0
/2013/09/leadership-magic-trick/,825,827,-0.2,0,0,0,0,0,0
