from,to,status,reason
/2009/06/60-paces/comment-page-1/,/2009/06/60-paces/,301,legacy URL
/2009/06/60-paces/feed/,/2009/06/60-paces/,301,attachmentpagina
/2009/06/99-test-balloons/comment-page-1/,/2009/06/99-test-balloons/,301,legacy URL
/2009/06/99-test-balloons/feed/,/2009/06/99-test-balloons/,301,attachmentpagina
/2009/06/alaskan-road-trip/feed/,/2009/06/alaskan-road-trip/,301,attachmentpagina
/2009/06/alphabet-game/feed/,/2009/06/alphabet-game/,301,attachmentpagina
/2009/06/coin-sorting/feed/,/2009/06/coin-sorting/,301,attachmentpagina
/2009/06/collaborative-origami/comment-page-1/,/2009/06/collaborative-origami/,301,legacy URL
/2009/06/collaborative-origami/feed/,/2009/06/collaborative-origami/,301,attachmentpagina
/2009/06/doggy-planning/feed/,/2009/06/doggy-planning/,301,attachmentpagina
/2009/06/football-scrum/feed/,/2009/06/football-scrum/,301,attachmentpagina
/2009/06/location-location-location/feed/,/2009/06/location-location-location/,301,attachmentpagina
/2009/06/mr-happy-face/feed/,/2009/06/mr-happy-face/,301,attachmentpagina
/2009/06/no-one-listens-to-me/feed/,/2009/06/no-one-listens-to-me/,301,attachmentpagina
/2009/06/picture-me/feed/,/2009/06/picture-me/,301,attachmentpagina
/2009/06/planning-poker/feed/,/2009/06/planning-poker/,301,attachmentpagina
/2009/06/presto-manifesto/feed/,/2009/06/presto-manifesto/,301,attachmentpagina
/2009/06/process-doodle/feed/,/2009/06/process-doodle/,301,attachmentpagina
/2009/06/resort-brochure/feed/,/2009/06/resort-brochure/,301,attachmentpagina
/2009/06/submit-your-game/feed/,/2009/06/submit-your-game/,301,attachmentpagina
/2009/06/tangled-mess/feed/,/2009/06/tangled-mess/,301,attachmentpagina
/2009/06/telephone-game/comment-page-1/,/2009/06/telephone-game/,301,legacy URL
/2009/06/telephone-game/feed/,/2009/06/telephone-game/,301,attachmentpagina
/2009/06/the-story-of-our-sprints/feed/,/2009/06/the-story-of-our-sprints/,301,attachmentpagina
/2009/06/the-train-game/feed/,/2009/06/the-train-game/,301,attachmentpagina
/2009/06/theory-of-constraints-dice-game/feed/,/2009/06/theory-of-constraints-dice-game/,301,attachmentpagina
/2009/06/were-having-a-party/feed/,/2009/06/were-having-a-party/,301,attachmentpagina
/2009/06/what-were-they-thinking/feed/,/2009/06/what-were-they-thinking/,301,attachmentpagina
/2009/06/why-agile-games/feed/,/2009/06/why-agile-games/,301,attachmentpagina
/2009/06/word-at-a-time-letter/comment-page-1/,/2009/06/word-at-a-time-letter/,301,legacy URL
/2009/06/word-at-a-time-letter/feed/,/2009/06/word-at-a-time-letter/,301,attachmentpagina
/2009/06/you-are-not-in-control/feed/,/2009/06/you-are-not-in-control/,301,attachmentpagina
/2009/07/people-polling/feed/,/2009/07/people-polling/,301,attachmentpagina
/2009/07/the-problem-with-principles/feed/,/2009/07/the-problem-with-principles/,301,attachmentpagina
/2009/08/example-please/feed/,/2009/08/example-please/,301,attachmentpagina
/2009/09/sizing-game/comment-page-1/,/2009/09/sizing-game/,301,legacy URL
/2009/09/sizing-game/feed/,/2009/09/sizing-game/,301,attachmentpagina
/2009/10/about/michael-mccullough/,,410,attachmentpagina zonder bestaande post
/2009/12/tastycupcakes-agile-games-podcast-with-improving-enterprises/feed/,/2009/12/tastycupcakes-agile-games-podcast-with-improving-enterprises/,301,attachmentpagina
/2010/01/pocket-sized-principles/comment-page-1/,/2010/01/pocket-sized-principles/,301,legacy URL
/2010/01/pocket-sized-principles/feed/,/2010/01/pocket-sized-principles/,301,attachmentpagina
/2010/03/deep-agile-2010-empowering-teams-with-agile-games/feed/,/2010/03/deep-agile-2010-empowering-teams-with-agile-games/,301,attachmentpagina
/2010/05/about/michael-mccullough/,,410,attachmentpagina zonder bestaande post
/2010/05/first-agile-games-conference-at-deepagile/feed/,/2010/05/first-agile-games-conference-at-deepagile/,301,attachmentpagina
/2010/07/the-backlog-is-in-the-eye-of-the-beholder/comment-page-1/,/2010/07/the-backlog-is-in-the-eye-of-the-beholder/,301,legacy URL
/2010/07/the-backlog-is-in-the-eye-of-the-beholder/feed/,/2010/07/the-backlog-is-in-the-eye-of-the-beholder/,301,attachmentpagina
/2010/11/marshmallow-challenge/feed/,/2010/11/marshmallow-challenge/,301,attachmentpagina
/2011/02/tasty-cupcakes-now-in-three-languages/feed/,/2011/02/tasty-cupcakes-now-in-three-languages/,301,attachmentpagina
/2011/03/bang-for-the-buck-prioritization/feed/,/2011/03/bang-for-the-buck-prioritization/,301,attachmentpagina
/2011/04/dont-blow-it/feed/,/2011/04/dont-blow-it/,301,attachmentpagina
/2011/04/non-musical-chairs/comment-page-1/,/2011/04/non-musical-chairs/,301,legacy URL
/2011/04/non-musical-chairs/feed/,/2011/04/non-musical-chairs/,301,attachmentpagina
/2011/04/redesign-the-gift-giving-experience/feed/,/2011/04/redesign-the-gift-giving-experience/,301,attachmentpagina
/2011/04/tastycupcakes-community-update/feed/,/2011/04/tastycupcakes-community-update/,301,attachmentpagina
/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/tastygames-printme/,/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/,301,attachmentpagina
/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/tastygames-printme/feed/,/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/,301,attachmentpagina
/2011/06/cover-story-2/feed/,/2011/06/cover-story-2/,301,attachmentpagina
/2011/06/online-plusdelta-game/feed/,/2011/06/online-plusdelta-game/,301,attachmentpagina
/2011/06/rock-paper-scissors-happiness/feed/,/2011/06/rock-paper-scissors-happiness/,301,attachmentpagina
/2011/07/agile-airplanes/agile_airplane/,/2011/07/agile-airplanes/,301,attachmentpagina
/2011/07/agile-airplanes/agile_airplane/feed/,/2011/07/agile-airplanes/,301,attachmentpagina
/2011/07/agile-airplanes/comment-page-1/,/2011/07/agile-airplanes/,301,legacy URL
/2011/07/agile-airplanes/feed/,/2011/07/agile-airplanes/,301,attachmentpagina
/2011/07/dodontisisnt/dodontisisnt/,/2011/07/dodontisisnt/,301,attachmentpagina
/2011/07/dodontisisnt/dodontisisnt/feed/,/2011/07/dodontisisnt/,301,attachmentpagina
/2011/07/dodontisisnt/feed/,/2011/07/dodontisisnt/,301,attachmentpagina
/2011/07/how-now-wow-matrix/feed/,/2011/07/how-now-wow-matrix/,301,attachmentpagina
/2011/07/impact-effort-matrix/feed/,/2011/07/impact-effort-matrix/,301,attachmentpagina
/2011/07/proscons-game/feed/,/2011/07/proscons-game/,301,attachmentpagina
/2011/07/the-big-payoff/feed/,/2011/07/the-big-payoff/,301,attachmentpagina
/2011/08/circles-and-soup/comment-page-1/,/2011/08/circles-and-soup/,301,legacy URL
/2011/08/circles-and-soup/feed/,/2011/08/circles-and-soup/,301,attachmentpagina
/2011/08/learning-matrix/feed/,/2011/08/learning-matrix/,301,attachmentpagina
/2011/10/continuous-integration-with-lego/comment-page-1/,/2011/10/continuous-integration-with-lego/,301,legacy URL
/2011/10/continuous-integration-with-lego/feed/,/2011/10/continuous-integration-with-lego/,301,attachmentpagina
/2011/10/continuous-integration-with-lego/finished-cube-real-1/,/2011/10/continuous-integration-with-lego/,301,attachmentpagina
/2011/10/continuous-integration-with-lego/finished-cube-real-1/feed/,/2011/10/continuous-integration-with-lego/,301,attachmentpagina
/2011/10/continuous-integration-with-lego/finished-cube-real-2/,/2011/10/continuous-integration-with-lego/,301,attachmentpagina
/2011/10/continuous-integration-with-lego/finished-cube-real-2/feed/,/2011/10/continuous-integration-with-lego/,301,attachmentpagina
/2011/10/continuous-integration-with-lego/finished-cube-real-3/,/2011/10/continuous-integration-with-lego/,301,attachmentpagina
/2011/10/continuous-integration-with-lego/finished-cube-real-3/feed/,/2011/10/continuous-integration-with-lego/,301,attachmentpagina
/2011/10/continuous-integration-with-lego/finished-cube-real-4/,/2011/10/continuous-integration-with-lego/,301,attachmentpagina
/2011/10/continuous-integration-with-lego/finished-cube-real-4/feed/,/2011/10/continuous-integration-with-lego/,301,attachmentpagina
/2011/10/pairing-for-non-programmers/comment-page-1/,/2011/10/pairing-for-non-programmers/,301,legacy URL
/2011/10/pairing-for-non-programmers/feed/,/2011/10/pairing-for-non-programmers/,301,attachmentpagina
/2011/11/human-knot/feed/,/2011/11/human-knot/,301,attachmentpagina
/2011/12/values-driven-retrospective-game/feed/,/2011/12/values-driven-retrospective-game/,301,attachmentpagina
/2012/02/multitasking-game-handsnumberssong/feed/,/2012/02/multitasking-game-handsnumberssong/,301,attachmentpagina
/2012/02/nobodys-perfct/comment-page-1/,/2012/02/nobodys-perfct/,301,legacy URL
