old,new,kind,status,note
/,/,homepage,EXACT,
/2009/06/60-paces/,/2009/06/60-paces/,artikel,EXACT,
/2009/06/60-paces/comment-page-1/,/2009/06/60-paces/,reactiepagina,REDIRECT,301 · 1 hop
/2009/06/60-paces/feed/,/2009/06/60-paces/,feed,REDIRECT,301 · 1 hop
/2009/06/99-test-balloons/,/2009/06/99-test-balloons/,artikel,EXACT,
/2009/06/99-test-balloons/comment-page-1/,/2009/06/99-test-balloons/,reactiepagina,REDIRECT,301 · 1 hop
/2009/06/99-test-balloons/feed/,/2009/06/99-test-balloons/,feed,REDIRECT,301 · 1 hop
/2009/06/alaskan-road-trip/,/2009/06/alaskan-road-trip/,artikel,EXACT,
/2009/06/alaskan-road-trip/feed/,/2009/06/alaskan-road-trip/,feed,REDIRECT,301 · 1 hop
/2009/06/alphabet-game/,/2009/06/alphabet-game/,artikel,EXACT,
/2009/06/alphabet-game/feed/,/2009/06/alphabet-game/,feed,REDIRECT,301 · 1 hop
/2009/06/coin-sorting/,/2009/06/coin-sorting/,artikel,EXACT,
/2009/06/coin-sorting/feed/,/2009/06/coin-sorting/,feed,REDIRECT,301 · 1 hop
/2009/06/collaborative-origami/,/2009/06/collaborative-origami/,artikel,EXACT,
/2009/06/collaborative-origami/comment-page-1/,/2009/06/collaborative-origami/,reactiepagina,REDIRECT,301 · 1 hop
/2009/06/collaborative-origami/feed/,/2009/06/collaborative-origami/,feed,REDIRECT,301 · 1 hop
/2009/06/doggy-planning/,/2009/06/doggy-planning/,artikel,EXACT,
/2009/06/doggy-planning/feed/,/2009/06/doggy-planning/,feed,REDIRECT,301 · 1 hop
/2009/06/football-scrum/,/2009/06/football-scrum/,artikel,EXACT,
/2009/06/football-scrum/feed/,/2009/06/football-scrum/,feed,REDIRECT,301 · 1 hop
/2009/06/location-location-location/,/2009/06/location-location-location/,artikel,EXACT,
/2009/06/location-location-location/feed/,/2009/06/location-location-location/,feed,REDIRECT,301 · 1 hop
/2009/06/mr-happy-face/,/2009/06/mr-happy-face/,artikel,EXACT,
/2009/06/mr-happy-face/feed/,/2009/06/mr-happy-face/,feed,REDIRECT,301 · 1 hop
/2009/06/no-one-listens-to-me/,/2009/06/no-one-listens-to-me/,artikel,EXACT,
/2009/06/no-one-listens-to-me/feed/,/2009/06/no-one-listens-to-me/,feed,REDIRECT,301 · 1 hop
/2009/06/pair-programming-game/,/2009/06/pair-programming-game/,artikel,EXACT,
/2009/06/picture-me/,/2009/06/picture-me/,artikel,EXACT,
/2009/06/picture-me/feed/,/2009/06/picture-me/,feed,REDIRECT,301 · 1 hop
/2009/06/planning-poker/,/2009/06/planning-poker/,artikel,EXACT,
/2009/06/planning-poker/feed/,/2009/06/planning-poker/,feed,REDIRECT,301 · 1 hop
/2009/06/presto-manifesto/,/2009/06/presto-manifesto/,artikel,EXACT,
/2009/06/presto-manifesto/feed/,/2009/06/presto-manifesto/,feed,REDIRECT,301 · 1 hop
/2009/06/process-doodle/,/2009/06/process-doodle/,artikel,EXACT,
/2009/06/process-doodle/feed/,/2009/06/process-doodle/,feed,REDIRECT,301 · 1 hop
/2009/06/question-game/,/2009/06/question-game/,artikel,EXACT,
/2009/06/rate-games-at-blog-tastycupcakes-com/,/2009/06/rate-games-at-blog-tastycupcakes-com/,artikel,EXACT,
/2009/06/resort-brochure/,/2009/06/resort-brochure/,artikel,EXACT,
/2009/06/resort-brochure/feed/,/2009/06/resort-brochure/,feed,REDIRECT,301 · 1 hop
/2009/06/submit-your-game/,/2009/06/submit-your-game/,artikel,EXACT,
/2009/06/submit-your-game/feed/,/2009/06/submit-your-game/,feed,REDIRECT,301 · 1 hop
/2009/06/tangled-mess/,/2009/06/tangled-mess/,artikel,EXACT,
/2009/06/tangled-mess/feed/,/2009/06/tangled-mess/,feed,REDIRECT,301 · 1 hop
/2009/06/telephone-game/,/2009/06/telephone-game/,artikel,EXACT,
/2009/06/telephone-game/comment-page-1/,/2009/06/telephone-game/,reactiepagina,REDIRECT,301 · 1 hop
/2009/06/telephone-game/feed/,/2009/06/telephone-game/,feed,REDIRECT,301 · 1 hop
/2009/06/the-story-of-our-sprints/,/2009/06/the-story-of-our-sprints/,artikel,EXACT,
/2009/06/the-story-of-our-sprints/feed/,/2009/06/the-story-of-our-sprints/,feed,REDIRECT,301 · 1 hop
/2009/06/the-train-game/,/2009/06/the-train-game/,artikel,EXACT,
/2009/06/the-train-game/feed/,/2009/06/the-train-game/,feed,REDIRECT,301 · 1 hop
/2009/06/theory-of-constraints-dice-game/,/2009/06/theory-of-constraints-dice-game/,artikel,EXACT,
/2009/06/theory-of-constraints-dice-game/feed/,/2009/06/theory-of-constraints-dice-game/,feed,REDIRECT,301 · 1 hop
/2009/06/were-having-a-party/,/2009/06/were-having-a-party/,artikel,EXACT,
/2009/06/were-having-a-party/feed/,/2009/06/were-having-a-party/,feed,REDIRECT,301 · 1 hop
/2009/06/what-were-they-thinking/,/2009/06/what-were-they-thinking/,artikel,EXACT,
/2009/06/what-were-they-thinking/feed/,/2009/06/what-were-they-thinking/,feed,REDIRECT,301 · 1 hop
/2009/06/why-agile-games/,/2009/06/why-agile-games/,artikel,EXACT,
/2009/06/why-agile-games/feed/,/2009/06/why-agile-games/,feed,REDIRECT,301 · 1 hop
/2009/06/word-at-a-time-letter/,/2009/06/word-at-a-time-letter/,artikel,EXACT,
/2009/06/word-at-a-time-letter/comment-page-1/,/2009/06/word-at-a-time-letter/,reactiepagina,REDIRECT,301 · 1 hop
/2009/06/word-at-a-time-letter/feed/,/2009/06/word-at-a-time-letter/,feed,REDIRECT,301 · 1 hop
/2009/06/you-are-not-in-control/,/2009/06/you-are-not-in-control/,artikel,EXACT,
/2009/06/you-are-not-in-control/feed/,/2009/06/you-are-not-in-control/,feed,REDIRECT,301 · 1 hop
/2009/07/people-polling/,/2009/07/people-polling/,artikel,EXACT,
/2009/07/people-polling/feed/,/2009/07/people-polling/,feed,REDIRECT,301 · 1 hop
/2009/07/the-problem-with-principles/,/2009/07/the-problem-with-principles/,artikel,EXACT,
/2009/07/the-problem-with-principles/feed/,/2009/07/the-problem-with-principles/,feed,REDIRECT,301 · 1 hop
/2009/08/example-please/,/2009/08/example-please/,artikel,EXACT,
/2009/08/example-please/feed/,/2009/08/example-please/,feed,REDIRECT,301 · 1 hop
/2009/09/sizing-game/,/2009/09/sizing-game/,artikel,EXACT,
/2009/09/sizing-game/comment-page-1/,/2009/09/sizing-game/,reactiepagina,REDIRECT,301 · 1 hop
/2009/09/sizing-game/feed/,/2009/09/sizing-game/,feed,REDIRECT,301 · 1 hop
/2009/10/about/michael-mccullough/,,attachment,GONE,attachmentpagina zonder bestaande post
/2009/10/map-flap/,/2009/10/map-flap/,artikel,EXACT,
/2009/11/tastycupcakes-published-in-agile-journal/,/2009/11/tastycupcakes-published-in-agile-journal/,artikel,EXACT,
/2009/12/tastycupcakes-agile-games-podcast-with-improving-enterprises/,/2009/12/tastycupcakes-agile-games-podcast-with-improving-enterprises/,artikel,EXACT,
/2009/12/tastycupcakes-agile-games-podcast-with-improving-enterprises/feed/,/2009/12/tastycupcakes-agile-games-podcast-with-improving-enterprises/,feed,REDIRECT,301 · 1 hop
/2010/01/pocket-sized-principles/,/2010/01/pocket-sized-principles/,artikel,EXACT,
/2010/01/pocket-sized-principles/comment-page-1/,/2010/01/pocket-sized-principles/,reactiepagina,REDIRECT,301 · 1 hop
/2010/01/pocket-sized-principles/feed/,/2010/01/pocket-sized-principles/,feed,REDIRECT,301 · 1 hop
/2010/03/deep-agile-2010-empowering-teams-with-agile-games/,/2010/03/deep-agile-2010-empowering-teams-with-agile-games/,artikel,EXACT,
/2010/03/deep-agile-2010-empowering-teams-with-agile-games/feed/,/2010/03/deep-agile-2010-empowering-teams-with-agile-games/,feed,REDIRECT,301 · 1 hop
/2010/05/about/michael-mccullough/,,attachment,GONE,attachmentpagina zonder bestaande post
/2010/05/first-agile-games-conference-at-deepagile/,/2010/05/first-agile-games-conference-at-deepagile/,artikel,EXACT,
/2010/05/first-agile-games-conference-at-deepagile/feed/,/2010/05/first-agile-games-conference-at-deepagile/,feed,REDIRECT,301 · 1 hop
/2010/07/the-backlog-is-in-the-eye-of-the-beholder/,/2010/07/the-backlog-is-in-the-eye-of-the-beholder/,artikel,EXACT,
/2010/07/the-backlog-is-in-the-eye-of-the-beholder/comment-page-1/,/2010/07/the-backlog-is-in-the-eye-of-the-beholder/,reactiepagina,REDIRECT,301 · 1 hop
/2010/07/the-backlog-is-in-the-eye-of-the-beholder/feed/,/2010/07/the-backlog-is-in-the-eye-of-the-beholder/,feed,REDIRECT,301 · 1 hop
/2010/10/agile-games-conference-2011/,/2010/10/agile-games-conference-2011/,artikel,EXACT,
/2010/11/marshmallow-challenge/,/2010/11/marshmallow-challenge/,artikel,EXACT,
/2010/11/marshmallow-challenge/feed/,/2010/11/marshmallow-challenge/,feed,REDIRECT,301 · 1 hop
/2011/01/agile-games-2011-conference-super-early-bird-pricing-until-january-24-2011/,/2011/01/agile-games-2011-conference-super-early-bird-pricing-until-january-24-2011/,artikel,EXACT,
/2011/01/new-for-2011-tastycupcakes-updated-and-expanded-vision/,/2011/01/new-for-2011-tastycupcakes-updated-and-expanded-vision/,artikel,EXACT,
/2011/01/your-turn-to-play-get-involved-with-tasty-cupcakes/,/2011/01/your-turn-to-play-get-involved-with-tasty-cupcakes/,artikel,EXACT,
/2011/02/agile-games-2011-early-bird-prices-end-feb-28th/,/2011/02/agile-games-2011-early-bird-prices-end-feb-28th/,artikel,EXACT,
/2011/02/tasty-cupcakes-now-in-three-languages/,/2011/02/tasty-cupcakes-now-in-three-languages/,artikel,EXACT,
/2011/02/tasty-cupcakes-now-in-three-languages/feed/,/2011/02/tasty-cupcakes-now-in-three-languages/,feed,REDIRECT,301 · 1 hop
/2011/03/bang-for-the-buck-prioritization/,/2011/03/bang-for-the-buck-prioritization/,artikel,EXACT,
/2011/03/bang-for-the-buck-prioritization/feed/,/2011/03/bang-for-the-buck-prioritization/,feed,REDIRECT,301 · 1 hop
/2011/04/coaching-skills-dojo/,/2011/04/coaching-skills-dojo/,artikel,EXACT,
/2011/04/dont-blow-it/,/2011/04/dont-blow-it/,artikel,EXACT,
/2011/04/dont-blow-it/feed/,/2011/04/dont-blow-it/,feed,REDIRECT,301 · 1 hop
